А	а 
органӗсен	о р г а н ӗ с е н 
оркестрта	о р к е с т р т а 
орнитолог	о р н и т о л о г 
офицерсем	о ф и ц е р с е м 
официаллӑ	о ф и ц и а л л ӑ 
паллашрӗҫ	п а л л а ш р ӗ ҫ 
палӑртать	п а л ӑ р т а т ь 
палӑртман	п а л ӑ р т м а н 
палӑртрӗҫ	п а л ӑ р т р ӗ ҫ 
палӑртсан	п а л ӑ р т с а н 
памаллине	п а м а л л и н е 
паманнине	п а м а н н и н е 
парассине	п а р а с с и н е 
парассипе	п а р а с с и п е 
парламент	п а р л а м е н т 
парнелеме	п а р н е л е м е 
парнеленӗ	п а р н е л е н ӗ 
парнелерӗ	п а р н е л е р ӗ 
паспортне	п а с п о р т н е 
паспортра	п а с п о р т р а 
патлогийӗ	п а т л о г и й ӗ 
патрульпе	п а т р у л ь п е 
патшалӑхӗ	п а т ш а л ӑ х ӗ 
пахалӑхлӑ	п а х а л ӑ х л ӑ 
пахалӑхне	п а х а л ӑ х н е 
пациентӑн	п а ц и е н т ӑ н 
паянтанпа	п а я н т а н п а 
пейзажсем	п е й з а ж с е м 
пенсионер	п е н с и о н е р 
перекетлӗ	п е р е к е т л ӗ 
пианистка	п и а н и с т к а 
пикесемпе	п и к е с е м п е 
пиллӗкмӗш	п и л л ӗ к м ӗ ш 
писателӗн	п и с а т е л ӗ н 
пичетлеме	п и ч е т л е м е 
пичетленӗ	п и ч е т л е н ӗ 
пичетлесе	п и ч е т л е с е 
пичетӗнче	п и ч е т ӗ н ч е 
плиткӑсем	п л и т к ӑ с е м 
плотинӑна	п л о т и н ӑ н а 
подрядчик	п о д р я д ч и к 
политикин	п о л и т и к и н 
полицирен	п о л и ц и р е н 
портретне	п о р т р е т н е 
правинчен	п р а в и н ч е н 
прависене	п р а в и с е н е 
предметне	п р е д м е т н е 
предметпа	п р е д м е т п а 
предмечӗн	п р е д м е ч ӗ н 
препарата	п р е п а р а т а 
приговорӗ	п р и г о в о р ӗ 
приемника	п р и е м н и к а 
проводить	п р о в о д и т ь 
программа	п р о г р а м м а 
программи	п р о г р а м м и 
продукцие	п р о д у к ц и е 
проектсем	п р о е к т с е м 
проекчӗпе	п р о е к ч ӗ п е 
прокартра	п р о к а р т р а 
прокурорӗ	п р о к у р о р ӗ 
проспекчӗ	п р о с п е к ч ӗ 
профессор	п р о ф е с с о р 
процедури	п р о ц е д у р и 
процентне	п р о ц е н т н е 
процентпа	п р о ц е н т п а 
психиатри	п с и х и а т р и 
публицист	п у б л и ц и с т 
пуканесем	п у к а н е с е м 
пуканисен	п у к а н и с е н 
пулассине	п у л а с с и н е 
пулмаллах	п у л м а л л а х 
пулнӑскер	п у л н ӑ с к е р 
пулсассӑн	п у л с а с с ӑ н 
пултарать	п у л т а р а т ь 
пултарсан	п у л т а р с а н 
пултарчӗҫ	п у л т а р ч ӗ ҫ 
пульницин	п у л ь н и ц и н 
пулӑмсене	п у л ӑ м с е н е 
пулӑшакан	п у л ӑ ш а к а н 
пулӑшасса	п у л ӑ ш а с с а 
пулӑшатӑр	п у л ӑ ш а т ӑ р 
пулӑшнипе	п у л ӑ ш н и п е 
пулӑшусем	п у л ӑ ш у с е м 
пулӑшӑвне	п у л ӑ ш ӑ в н е 
пулӑшӑвӑн	п у л ӑ ш ӑ в ӑ н 
пунктӗнче	п у н к т ӗ н ч е 
пурлӑхӗпе	п у р л ӑ х ӗ п е 
пурнӑҫлас	п у р н ӑ ҫ л а с 
пурнӑҫлӗҫ	п у р н ӑ ҫ л ӗ ҫ 
пурнӑҫӗпе	п у р н ӑ ҫ ӗ п е 
пурӑнакан	п у р ӑ н а к а н 
пурӑнасса	п у р ӑ н а с с а 
пурӑнасси	п у р ӑ н а с с и 
пурӑнатӑн	п у р ӑ н а т ӑ н 
пурӑнатӑп	п у р ӑ н а т ӑ п 
пурӑнатӑр	п у р ӑ н а т ӑ р 
пурӑнаҫҫӗ	п у р ӑ н а ҫ ҫ ӗ 
пурӑннине	п у р ӑ н н и н е 
пурӑннипе	п у р ӑ н н и п е 
пухӑвӗнче	п у х ӑ в ӗ н ч е 
пухӑннине	п у х ӑ н н и н е 
пушанакан	п у ш а н а к а н 
пуҫарнине	п у ҫ а р н и н е 
пуҫаруллӑ	п у ҫ а р у л л ӑ 
пуҫарусен	п у ҫ а р у с е н 
пуҫланать	п у ҫ л а н а т ь 
пуҫлӑхсем	п у ҫ л ӑ х с е м 
пыйтусене	п ы й т у с е н е 
пыманнине	п ы м а н н и н е 
пырассине	п ы р а с с и н е 
пырассипе	п ы р а с с и п е 
пысӑккине	п ы с ӑ к к и н е 
пӑлхавӑра	п ӑ л х а в ӑ р а 
пӑрахасси	п ӑ р а х а с с и 
пӑрӑннине	п ӑ р ӑ н н и н е 
пӑтӑрмаха	п ӑ т ӑ р м а х а 
пӑхӑнакан	п ӑ х ӑ н а к а н 
пӑхӑннипе	п ӑ х ӑ н н и п е 
пӗлменрен	п ӗ л м е н р е н 
пӗлместӗп	п ӗ л м е с т ӗ п 
пӗлместӗр	п ӗ л м е с т ӗ р 
пӗлтермен	п ӗ л т е р м е н 
пӗлтерӗшӗ	п ӗ л т е р ӗ ш ӗ 
пӗрлешӗве	п ӗ р л е ш ӗ в е 
пӗрлешӗвӗ	п ӗ р л е ш ӗ в ӗ 
пӗрлешӳре	п ӗ р л е ш ӳ р е 
пӗрлӗхсем	п ӗ р л ӗ х с е м 
пӗрремӗшӗ	п ӗ р р е м ӗ ш ӗ 
пӗтӗмӗшле	п ӗ т ӗ м ӗ ш л е 
пӳлӗмсене	п ӳ л ӗ м с е н е 
пӳлӗмӗнче	п ӳ л ӗ м ӗ н ч е 
разведчик	р а з в е д ч и к 
райокомӗн	р а й о к о м ӗ н 
районӗнче	р а й о н ӗ н ч е 
районӗнчи	р а й о н ӗ н ч и 
ракурсӗпе	р а к у р с ӗ п е 
революцин	р е в о л ю ц и н 
регионсем	р е г и о н с е м 
регонӗнчи	р е г о н ӗ н ч и 
редакторӗ	р е д а к т о р ӗ 
редакцийӗ	р е д а к ц и й ӗ 
редакцине	р е д а к ц и н е 
редакцире	р е д а к ц и р е 
режиссерӗ	р е ж и с с е р ӗ 
реформине	р е ф о р м и н е 
рецепчӗпе	р е ц е п ч ӗ п е 
родителей	р о д и т е л е й 
рынокӗнчи	р ы н о к ӗ н ч и 
савнийӗпе	с а в н и й ӗ п е 
савутӗнче	с а в у т ӗ н ч е 
савучӗсем	с а в у ч ӗ с е м 
савӑнатӑп	с а в ӑ н а т ӑ п 
савӑннипе	с а в ӑ н н и п е 
савӑнӑҫлӑ	с а в ӑ н ӑ ҫ л ӑ 
сайчӗсене	с а й ч ӗ с е н е 
саккасӗпе	с а к к а с ӗ п е 
саккунсӑр	с а к к у н с ӑ р 
саламлама	с а л а м л а м а 
саламланӑ	с а л а м л а н ӑ 
салонӗнче	с а л о н ӗ н ч е 
салтаксем	с а л т а к с е м 
самантрах	с а м а н т р а х 
санитарка	с а н и т а р к а 
сантехник	с а н т е х н и к 
сантиметр	с а н т и м е т р 
сарайӗнче	с а р а й ӗ н ч е 
сарайӗнчи	с а р а й ӗ н ч и 
сарӑлччӗр	с а р ӑ л ч ч ӗ р 
сасӑлавра	с а с ӑ л а в р а 
сатирикӑн	с а т и р и к ӑ н 
сахалланӑ	с а х а л л а н ӑ 
секретарӗ	с е к р е т а р ӗ 
сехетлӗхе	с е х е т л ӗ х е 
сиенленнӗ	с и е н л е н н ӗ 
символики	с и м в о л и к и 
симӗҫсене	с и м ӗ ҫ с е н е 
синтетика	с и н т е т и к а 
сирменшӗн	с и р м е н ш ӗ н 
службинче	с л у ж б и н ч е 
службисен	с л у ж б и с е н 
службӑсем	с л у ж б ӑ с е м 
сооружени	с о о р у ж е н и 
спектакль	с п е к т а к л ь 
спортсмен	с п о р т с м е н 
станцийӗн	с т а н ц и й ӗ н 
статуэтка	с т а т у э т к а 
статьяран	с т а т ь я р а н 
страницӑн	с т р а н и ц ӑ н 
строитель	с т р о и т е л ь 
сурӑхӑнни	с у р ӑ х ӑ н н и 
съездӗнче	с ъ е з д ӗ н ч е 
сылтӑмран	с ы л т ӑ м р а н 
сыпкаланӑ	с ы п к а л а н ӑ 
сыснасене	с ы с н а с е н е 
сыснисене	с ы с н и с е н е 
сюитинчен	с ю и т и н ч е н 
сӑвапланӑ	с ӑ в а п л а н ӑ 
сӑвапларӗ	с ӑ в а п л а р ӗ 
сӑйланине	с ӑ й л а н и н е 
сӑмахсене	с ӑ м а х с е н е 
сӑмахӗнче	с ӑ м а х ӗ н ч е 
сӑмахӗсем	с ӑ м а х ӗ с е м 
сӑнарлать	с ӑ н а р л а т ь 
сӑнарсене	с ӑ н а р с е н е 
сӗнӳсемпе	с ӗ н ӳ с е м п е 
тавралӑха	т а в р а л ӑ х а 
таврӑнман	т а в р ӑ н м а н 
талӑклӑха	т а л ӑ к л ӑ х а 
талӑкӗпех	т а л ӑ к ӗ п е х 
танкисчӗн	т а н к и с ч ӗ н 
танлашать	т а н л а ш а т ь 
танлӑхшӑн	т а н л ӑ х ш ӑ н 
таптанине	т а п т а н и н е 
таранччен	т а р а н ч ч е н 
тасатакан	т а с а т а к а н 
тасатаҫҫӗ	т а с а т а ҫ ҫ ӗ 
театрӗнче	т е а т р ӗ н ч е 
театрӗсен	т е а т р ӗ с е н 
текенсене	т е к е н с е н е 
телевизор	т е л е в и з о р 
телейӗшӗн	т е л е й ӗ ш ӗ н 
телеканал	т е л е к а н а л 
телекурав	т е л е к у р а в 
телефонпа	т е л е ф о н п а 
тенкӗллин	т е н к ӗ л л и н 
тенорӗсем	т е н о р ӗ с е м 
термометр	т е р м о м е т р 
терроризм	т е р р о р и з м 
тетелӗнче	т е т е л ӗ н ч е 
тетелӗнчи	т е т е л ӗ н ч и 
техникине	т е х н и к и н е 
техникӑна	т е х н и к ӑ н а 
технологи	т е х н о л о г и 
тивессине	т и в е с с и н е 
тивӗҫекен	т и в ӗ ҫ е к е н 
тивӗҫеҫҫӗ	т и в ӗ ҫ е ҫ ҫ ӗ 
тивӗҫлипе	т и в ӗ ҫ л и п е 
тилхепине	т и л х е п и н е 
тирпейлӗҫ	т и р п е й л ӗ ҫ 
тискеррӗн	т и с к е р р ӗ н 
транспорт	т р а н с п о р т 
траснпорт	т р а с н п о р т 
тролейбус	т р о л е й б у с 
тултарать	т у л т а р а т ь 
тумаллине	т у м а л л и н е 
тумасӑрах	т у м а с ӑ р а х 
тумтирсӗр	т у м т и р с ӗ р 
тумтирӗпе	т у м т и р ӗ п е 
тункатана	т у н к а т а н а 
тупмашкӑн	т у п м а ш к ӑ н 
тупӑнмарӗ	т у п ӑ н м а р ӗ 
туристсем	т у р и с т с е м 
туристсен	т у р и с т с е н 
турнирсем	т у р н и р с е м 
туртмалли	т у р т м а л л и 
турттарса	т у р т т а р с а 
турттарӗҫ	т у р т т а р ӗ ҫ 
туслӑхӗпе	т у с л ӑ х ӗ п е 
тухмаллах	т у х м а л л а х 
тухнисене	т у х н и с е н е 
тухтӑрсем	т у х т ӑ р с е м 
туянасшӑн	т у я н а с ш ӑ н 
туянмалӑх	т у я н м а л ӑ х 
тыттарман	т ы т т а р м а н 
тытӑмӗнче	т ы т ӑ м ӗ н ч е 
тытӑнаҫҫӗ	т ы т ӑ н а ҫ ҫ ӗ 
тӑваннине	т ӑ в а н н и н е 
тӑванӗсем	т ӑ в а н ӗ с е м 
тӑвассипе	т ӑ в а с с и п е 
тӑкакланӗ	т ӑ к а к л а н ӗ 
тӑкаксене	т ӑ к а к с е н е 
тӑкакӗсем	т ӑ к а к ӗ с е м 
тӑлӑхсене	т ӑ л ӑ х с е н е 
тӑмаллине	т ӑ м а л л и н е 
тӑманнине	т ӑ м а н н и н е 
тӑманнипе	т ӑ м а н н и п е 
тӑратакан	т ӑ р а т а к а н 
тӑрататӑп	т ӑ р а т а т ӑ п 
тӑратаҫҫӗ	т ӑ р а т а ҫ ҫ ӗ 
тӑратнине	т ӑ р а т н и н е 
тӑршшӗнче	т ӑ р ш ш ӗ н ч е 
тӑршшӗпех	т ӑ р ш ш ӗ п е х 
тӑрӑхсене	т ӑ р ӑ х с е н е 
тӑрӑхӑнче	т ӑ р ӑ х ӑ н ч е 
тӑрӑхӗнче	т ӑ р ӑ х ӗ н ч е 
тӑрӑхӗнчи	т ӑ р ӑ х ӗ н ч и 
тӑрӑхӗсен	т ӑ р ӑ х ӗ с е н 
тӑрӑшаҫҫӗ	т ӑ р ӑ ш а ҫ ҫ ӗ 
тӑрӑшнипе	т ӑ р ӑ ш н и п е 
тӑсмашкӑн	т ӑ с м а ш к ӑ н 
тӑсӑласси	т ӑ с ӑ л а с с и 
тӑххӑрӑшӗ	т ӑ х х ӑ р ӑ ш ӗ 
тӑхӑмӗсен	т ӑ х ӑ м ӗ с е н 
тӑхӑнаҫҫӗ	т ӑ х ӑ н а ҫ ҫ ӗ 
тӗллевлӗн	т ӗ л л е в л ӗ н 
тӗлпулура	т ӗ л п у л у р а 
тӗплӗнрех	т ӗ п л ӗ н р е х 
тӗртмелли	т ӗ р т м е л л и 
тӗрӗкӗсем	т ӗ р ӗ к ӗ с е м 
тӗрӗслеве	т ӗ р ӗ с л е в е 
тӗрӗслевӗ	т ӗ р ӗ с л е в ӗ 
тӗрӗслеме	т ӗ р ӗ с л е м е 
тӗрӗсленӗ	т ӗ р ӗ с л е н ӗ 
тӗрӗслесе	т ӗ р ӗ с л е с е 
тӗсӗсемпе	т ӗ с ӗ с е м п е 
тӗттӗмрех	т ӗ т т ӗ м р е х 
тӗшӗрӗлсе	т ӗ ш ӗ р ӗ л с е 
тӳлемелле	т ӳ л е м е л л е 
тӳлемелли	т ӳ л е м е л л и 
тӳлемеҫҫӗ	т ӳ л е м е ҫ ҫ ӗ 
тӳлессипе	т ӳ л е с с и п е 
удмуртсен	у д м у р т с е н 
уйрӑмӗнче	у й р ӑ м ӗ н ч е 
уйрӑмӗсем	у й р ӑ м ӗ с е м 
уйрӑмӗсен	у й р ӑ м ӗ с е н 
уйӑрасшӑн	у й ӑ р а с ш ӑ н 
уйӑрмалли	у й ӑ р м а л л и 
уйӑрнӑран	у й ӑ р н ӑ р а н 
уйӑхсерен	у й ӑ х с е р е н 
уйӑхӗнчен	у й ӑ х ӗ н ч е н 
уйӑхӗнчех	у й ӑ х ӗ н ч е х 
уйӑхӗччен	у й ӑ х ӗ ч ч е н 
укҫасемпе	у к ҫ а с е м п е 
улшӑнусем	у л ш ӑ н у с е м 
улшӑнӑвне	у л ш ӑ н ӑ в н е 
улӑштарнӑ	у л ӑ ш т а р н ӑ 
унашкалли	у н а ш к а л л и 
управлени	у п р а в л е н и 
упрамалли	у п р а м а л л и 
упрассипе	у п р а с с и п е 
урамсенчи	у р а м с е н ч и 
урамӗнчен	у р а м ӗ н ч е н 
урокӗсене	у р о к ӗ с е н е 
